Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,X_Cordinat,Y_Cordinat,Ulb_Name
Manhole,254,Continuous,15.0565268018,18,PMH,5.13209823531,404046.2648,1429771.3999,Tambaram
Manhole,254,Continuous,14.780611116,18,PMH,5.13209823531,404045.6291,1429788.1043,Tambaram
Manhole,254,Continuous,14.8655851496,18,PMH,5.13209823531,403969.3274,1429798.6607,Tambaram
TEMPLE,254,Continuous,15.0665237469,25,TEM,359.803654299,404187.9674,1429805.3366,Tambaram
Small Water Tank,7,Continuous,14.9165695698,25,sintax,359.803654299,404211.0424,1429807.2748,Tambaram
Streetlight,254,Continuous,19.5021683043,25,PEP,359.803654299,403948.4967,1429188.2667,Tambaram
Streetlight,254,Continuous,19.3252223754,25,PEP,359.803654299,403946.8101,1429176.293,Tambaram
Streetlight,254,Continuous,19.5381573068,25,PEP,359.803654299,403907.8772,1429187.5979,Tambaram
Streetlight,254,Continuous,19.4481848006,25,PEP,359.803654299,403927.363,1429182.2198,Tambaram
Streetlight,254,Continuous,19.5101658604,25,PEP,359.803654299,403927.5198,1429193.2575,Tambaram
Streetlight,254,Continuous,14.9775509352,25,PEP,359.803654299,404090.9186,1429802.2436,Tambaram
Streetlight,254,Continuous,15.2934544015,25,PEP,359.803654299,404092.6805,1429783.1146,Tambaram
Streetlight,254,Continuous,14.5786728242,25,PEP,359.803654299,404125.3783,1429824.6559,Tambaram
Streetlight,254,Continuous,14.6166612157,25,PEP,359.803654299,404152.9841,1429820.2752,Tambaram
Streetlight,254,Continuous,14.7356248629,25,PEP,359.803654299,404185.8947,1429813.7965,Tambaram
Streetlight,254,Continuous,14.8285964526,25,PEP,359.803654299,404192.0105,1429812.5774,Tambaram
Streetlight,254,Continuous,14.9395625437,25,PEP,359.803654299,404124.2678,1429795.6405,Tambaram
Streetlight,254,Continuous,15.0015436035,25,PEP,359.803654299,404142.8046,1429792.3578,Tambaram
Streetlight,254,Continuous,15.1844876995,25,PEP,359.803654299,404162.1283,1429788.7688,Tambaram
Streetlight,254,Continuous,15.3094495137,25,PEP,359.803654299,404185.1993,1429783.3872,Tambaram
